epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,813.206,0.49831,0.6283,0.36453,1.06436,0.98779,1,0.995,0.94571,0.98779,1,0.995,0.9575,0.31896,0.56855,0.27486,0.92077,0.006172,0.006172,0.006172
60,825.745,0.50152,0.64394,0.35493,1.05707,0.94551,0.94262,0.96736,0.84782,0.93566,0.93443,0.96218,0.84174,0.54126,1.12206,0.50288,1.11177,0.006106,0.006106,0.006106
61,837.864,0.4863,0.61554,0.3471,1.04799,0.99536,0.9918,0.995,0.93831,0.99536,0.9918,0.995,0.9396,0.36378,0.70831,0.30284,0.94866,0.00604,0.00604,0.00604
62,849.835,0.48268,0.62992,0.35188,1.0502,0.99004,0.95082,0.99159,0.89496,0.9774,0.94262,0.9891,0.88833,0.44013,0.98894,0.39336,1.0382,0.005974,0.005974,0.005974
63,862.05,0.49151,0.64876,0.35652,1.04525,0.99179,1,0.995,0.93468,0.99179,1,0.995,0.9395,0.38096,0.66791,0.2859,0.96786,0.005908,0.005908,0.005908
64,875.863,0.46204,0.60039,0.33386,1.0266,0.97155,0.91803,0.98407,0.88066,0.9694,0.91803,0.98486,0.89135,0.49926,0.97451,0.40496,1.07958,0.005842,0.005842,0.005842
65,890.122,0.4767,0.60621,0.34195,1.04228,0.97773,0.98361,0.99443,0.93315,0.97773,0.98361,0.99443,0.92704,0.39075,0.75157,0.32672,0.95624,0.005776,0.005776,0.005776
66,902.154,0.47713,0.60522,0.34182,1.04764,0.99186,0.9992,0.995,0.9426,0.99186,0.9992,0.995,0.92073,0.34467,0.75537,0.29136,0.93855,0.00571,0.00571,0.00571
67,914.294,0.46337,0.61754,0.33745,1.02442,0.99602,0.9918,0.995,0.94379,0.99602,0.9918,0.995,0.94596,0.3342,0.63063,0.27595,0.91561,0.005644,0.005644,0.005644
68,926.302,0.46385,0.61184,0.33296,1.02802,0.99801,1,0.995,0.94494,0.99801,1,0.995,0.95546,0.33325,0.67437,0.26834,0.91063,0.005578,0.005578,0.005578
69,939.807,0.46204,0.58828,0.33313,1.03038,0.99352,0.9918,0.995,0.95258,0.99352,0.9918,0.995,0.95236,0.31944,0.65596,0.26121,0.91204,0.005512,0.005512,0.005512
70,952.445,0.46519,0.60598,0.33577,1.03935,0.99715,1,0.995,0.94885,0.99715,1,0.995,0.94152,0.3424,0.74137,0.27241,0.92925,0.005446,0.005446,0.005446
71,966.554,0.44178,0.58821,0.32009,1.01532,0.98217,0.9918,0.99492,0.91201,0.98217,0.9918,0.99492,0.91757,0.42942,0.83853,0.35076,1.00828,0.00538,0.00538,0.00538
72,980.675,0.45467,0.58662,0.32657,1.02175,0.99713,1,0.995,0.94921,0.99713,1,0.995,0.94646,0.31908,0.61736,0.27992,0.90841,0.005314,0.005314,0.005314
73,994.376,0.44486,0.56999,0.32245,1.01277,0.99792,1,0.995,0.97102,0.99792,1,0.995,0.97336,0.28278,0.55138,0.24716,0.88178,0.005248,0.005248,0.005248
74,1008.08,0.4416,0.57852,0.32104,1.01714,1,0.99705,0.995,0.94156,1,0.99705,0.995,0.93759,0.35744,0.71621,0.28633,0.94043,0.005182,0.005182,0.005182
75,1023.02,0.4533,0.54809,0.32035,1.02876,0.99811,1,0.995,0.93312,0.99811,1,0.995,0.93886,0.36911,0.76736,0.29971,0.97186,0.005116,0.005116,0.005116
76,1036.97,0.44713,0.58667,0.32345,1.02925,1,0.99777,0.995,0.94539,1,0.99777,0.995,0.95008,0.33253,0.65287,0.28039,0.91305,0.00505,0.00505,0.00505
77,1051.09,0.44421,0.56319,0.32317,1.02069,0.98556,1,0.995,0.95126,0.98556,1,0.995,0.9484,0.33041,0.72822,0.27903,0.92297,0.004984,0.004984,0.004984
78,1065.57,0.42404,0.53583,0.30378,1.00628,0.99832,1,0.995,0.95014,0.99832,1,0.995,0.95175,0.30901,0.62774,0.25316,0.91301,0.004918,0.004918,0.004918
79,1079.7,0.42697,0.55358,0.31084,1.00981,0.99185,0.99777,0.99492,0.93394,0.99185,0.99777,0.99492,0.93818,0.36361,0.70686,0.28802,0.93923,0.004852,0.004852,0.004852
80,1093.68,0.43283,0.55479,0.30623,1.01368,0.99681,1,0.995,0.95738,0.99681,1,0.995,0.95658,0.32488,0.66512,0.24903,0.93299,0.004786,0.004786,0.004786
81,1107.39,0.42876,0.57306,0.31059,1.01054,0.9967,1,0.995,0.96384,0.9967,1,0.995,0.96377,0.28632,0.56514,0.226,0.8873,0.00472,0.00472,0.00472
82,1121.37,0.42285,0.57525,0.30798,1.00407,0.98981,1,0.995,0.96021,0.98981,1,0.995,0.94699,0.31959,0.68897,0.2551,0.92878,0.004654,0.004654,0.004654
83,1135.43,0.42396,0.53672,0.29926,1.00797,0.99889,1,0.995,0.9718,0.99889,1,0.995,0.97267,0.27496,0.57117,0.23201,0.88361,0.004588,0.004588,0.004588
84,1149.54,0.41961,0.51888,0.2996,0.99782,0.99762,1,0.995,0.96136,0.99762,1,0.995,0.96494,0.28506,0.62724,0.24169,0.88886,0.004522,0.004522,0.004522
85,1163.56,0.41319,0.54892,0.29655,1.00308,0.98209,1,0.995,0.95449,0.98209,1,0.995,0.96328,0.30636,0.61885,0.25022,0.91919,0.004456,0.004456,0.004456
86,1177.44,0.41867,0.53328,0.29691,1.00173,0.99851,1,0.995,0.9708,0.99851,1,0.995,0.97167,0.26175,0.58211,0.21668,0.87098,0.00439,0.00439,0.00439
87,1191.33,0.40569,0.52923,0.2922,0.99143,0.99836,1,0.995,0.96593,0.99836,1,0.995,0.9553,0.3076,0.68547,0.23823,0.90257,0.004324,0.004324,0.004324
88,1205.16,0.40457,0.53009,0.29487,0.99301,0.99139,0.86066,0.95328,0.84388,0.97251,0.84426,0.94224,0.82904,0.51762,0.99842,0.4767,1.14641,0.004258,0.004258,0.004258
